calling_number,called_number,date,time,duration,call_type,tower_id,imei
9878877910,9722026880,2026-08-03,23:54:17,45,VOICE,TWR-001,356170294288605
9601244938,9693912362,2026-08-03,23:59:17,3,DATA,TWR-007,356170294288605
9794759130,9601244938,2026-08-04,00:29:17,180,VOICE,TWR-007,356332444393444
9689931092,9354769104,2026-08-04,01:11:17,12,SMS,TWR-003,351434475654887
9689931092,9660219988,2026-08-04,02:15:17,90,VOICE,TWR-007,351434475654887
9693912362,9762143601,2026-08-04,02:44:17,300,VOICE,TWR-002,351434475654887
9677690652,9722026880,2026-08-04,02:58:17,3,VOICE,TWR-008,356170294288605
9722026880,9354769104,2026-08-04,03:48:17,0,DATA,TWR-001,356236337841316
9354769104,9794759130,2026-08-04,04:10:17,3,SMS,TWR-004,356139475498701
9722026880,9660219988,2026-08-04,04:25:17,0,VOICE,TWR-003,356236337841316
9878877910,9829350996,2026-08-04,04:53:17,3,VOICE,TWR-001,356236337841316
9722026880,9487447697,2026-08-04,05:01:17,0,SMS,TWR-003,356236337841316
9354769104,9677690652,2026-08-04,05:27:17,0,DATA,TWR-002,356332444393444
9794759130,9354769104,2026-08-04,06:28:17,45,SMS,TWR-005,351434475654887
9487447697,9693912362,2026-08-04,07:17:17,90,VOICE,TWR-002,356170294288605
9660219988,9878877910,2026-08-04,09:02:17,300,VOICE,TWR-001,351434475654887
9354769104,9487447697,2026-08-04,09:05:17,90,DATA,TWR-002,356236337841316
9829350996,9601267121,2026-08-04,09:37:17,3,VOICE,TWR-002,356170294288605
9660219988,9677690652,2026-08-04,09:56:17,45,DATA,TWR-005,354559689653603
9677690652,9762143601,2026-08-04,10:14:17,12,VOICE,TWR-007,354559689653603
9601267121,9271013794,2026-08-04,11:01:17,3,VOICE,TWR-005,354559689653603
9127004282,9829350996,2026-08-04,11:59:17,90,DATA,TWR-001,356236337841316
9601267121,9271013794,2026-08-04,12:21:17,300,VOICE,TWR-002,351434475654887
9878877910,9762143601,2026-08-04,12:32:17,0,VOICE,TWR-006,356236337841316
9693912362,9878877910,2026-08-04,12:38:17,4,VOICE,TWR-001,356332444393444
9794759130,9829350996,2026-08-04,12:46:17,300,VOICE,TWR-007,354559689653603
9354769104,9127004282,2026-08-04,13:08:17,300,VOICE,TWR-008,356170294288605
9762143601,9693912362,2026-08-04,13:15:17,45,VOICE,TWR-004,351434475654887
9689931092,9660219988,2026-08-04,13:31:17,0,VOICE,TWR-008,356332444393444
9794759130,9878877910,2026-08-04,14:06:17,0,DATA,TWR-001,351434475654887
9693912362,9722026880,2026-08-04,14:17:17,0,VOICE,TWR-008,356332444393444
